Generation	Identity	Population	Frequency	Group_id	Unique_id
14.0	genotype-red	0.0	0.0	genotype-reda	genotype-reda_14
14.0	genotype-0	49.981621417251304	0.49981621417251304	genotype-0a	genotype-0a_14
14.5	genotype-0	48.51562656768784	0.4995445603308133	genotype-0	genotype-0_14.5
14.5	genotype-red	0.0	0.0	genotype-red	genotype-red_14.5
14.5	genotype-green	0.0	0.0	genotype-green	genotype-green_14.5
14.5	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_14.5
14.5	genotype-sienna	0.0	0.0	genotype-sienna	genotype-sienna_14.5
14.5	genotype-sienna	0.0	0.0	genotype-siennaa	genotype-siennaa_14.5
14.5	genotype-orchid	0.0	0.0	genotype-orchid	genotype-orchid_14.5
14.5	genotype-orchid	0.0	0.0	genotype-orchida	genotype-orchida_14.5
14.5	genotype-aqua	0.0	0.0	genotype-aquaa	genotype-aquaa_14.5
14.5	genotype-green	0.0	0.0	genotype-greena	genotype-greena_14.5
14.5	genotype-orange	0.04423217200031007	0.0004554396691866708	genotype-orange	genotype-orange_14.5
14.5	genotype-orange	0.04423217200031007	0.0004554396691866708	genotype-orangea	genotype-orangea_14.5
14.5	genotype-red	0.0	0.0	genotype-reda	genotype-reda_14.5
14.5	genotype-0	48.51562656768784	0.4995445603308133	genotype-0a	genotype-0a_14.5
15.0	genotype-0	47.049631718124374	0.47049631718124374	genotype-0	genotype-0_15
15.0	genotype-red	2.880282520623704	0.02880282520623704	genotype-red	genotype-red_15
15.0	genotype-green	0.0	0.0	genotype-green	genotype-green_15
15.0	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_15
15.0	genotype-sienna	0.0	0.0	genotype-sienna	genotype-sienna_15
15.0	genotype-sienna	0.0	0.0	genotype-siennaa	genotype-siennaa_15
15.0	genotype-orchid	0.0	0.0	genotype-orchid	genotype-orchid_15
15.0	genotype-orchid	0.0	0.0	genotype-orchida	genotype-orchida_15
15.0	genotype-aqua	0.0	0.0	genotype-aquaa	genotype-aquaa_15
15.0	genotype-green	0.0	0.0	genotype-greena	genotype-greena_15
15.0	genotype-orange	0.070085761251921	0.00070085761251921	genotype-orange	genotype-orange_15
15.0	genotype-orange	0.070085761251921	0.00070085761251921	genotype-orangea	genotype-orangea_15
15.0	genotype-red	2.880282520623704	0.02880282520623704	genotype-reda	genotype-reda_15
15.0	genotype-0	47.049631718124374	0.47049631718124374	genotype-0a	genotype-0a_15
16.0	genotype-0	43.395035161022896	0.43395035161022905	genotype-0	genotype-0_16
16.0	genotype-red	6.382740755222708	0.06382740755222709	genotype-red	genotype-red_16
16.0	genotype-green	0.0	0.0	genotype-green	genotype-green_16
16.0	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_16
16.0	genotype-sienna	0.0	0.0	genotype-sienna	genotype-sienna_16
16.0	genotype-sienna	0.0	0.0	genotype-siennaa	genotype-siennaa_16
16.0	genotype-orchid	0.0	0.0	genotype-orchid	genotype-orchid_16
16.0	genotype-orchid	0.0	0.0	genotype-orchida	genotype-orchida_16
16.0	genotype-aqua	0.0	0.0	genotype-aquaa	genotype-aquaa_16
16.0	genotype-green	0.0	0.0	genotype-greena	genotype-greena_16
16.0	genotype-orange	0.22222408375439298	0.00222224083754393	genotype-orange	genotype-orange_16
16.0	genotype-orange	0.22222408375439298	0.00222224083754393	genotype-orangea	genotype-orangea_16
16.0	genotype-red	6.382740755222708	0.06382740755222709	genotype-reda	genotype-reda_16
16.0	genotype-0	43.395035161022896	0.43395035161022905	genotype-0a	genotype-0a_16
17.0	genotype-0	37.42708676449025	0.37427086764490247	genotype-0	genotype-0_17
17.0	genotype-red	11.982839579134625	0.11982839579134624	genotype-red	genotype-red_17
17.0	genotype-green	0.0	0.0	genotype-green	genotype-green_17
17.0	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_17
17.0	genotype-sienna	0.0	0.0	genotype-sienna	genotype-sienna_17
17.0	genotype-sienna	0.0	0.0	genotype-siennaa	genotype-siennaa_17
17.0	genotype-orchid	0.0	0.0	genotype-orchid	genotype-orchid_17
17.0	genotype-orchid	0.0	0.0	genotype-orchida	genotype-orchida_17
17.0	genotype-aqua	0.0	0.0	genotype-aquaa	genotype-aquaa_17
17.0	genotype-green	0.0	0.0	genotype-greena	genotype-greena_17
17.0	genotype-orange	0.590073656375125	0.00590073656375125	genotype-orange	genotype-orange_17
17.0	genotype-orange	0.590073656375125	0.00590073656375125	genotype-orangea	genotype-orangea_17
17.0	genotype-red	11.982839579134625	0.11982839579134624	genotype-reda	genotype-reda_17
17.0	genotype-0	37.42708676449025	0.37427086764490247	genotype-0a	genotype-0a_17
18.0	genotype-0	29.417486166574797	0.294174861665748	genotype-0	genotype-0_18
18.0	genotype-red	19.261520865629787	0.19261520865629791	genotype-red	genotype-red_18
18.0	genotype-green	0.0	0.0	genotype-green	genotype-green_18
18.0	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_18
18.0	genotype-sienna	0.0	0.0	genotype-sienna	genotype-sienna_18
18.0	genotype-sienna	0.0	0.0	genotype-siennaa	genotype-siennaa_18
18.0	genotype-orchid	0.0	0.0	genotype-orchid	genotype-orchid_18
18.0	genotype-orchid	0.0	0.0	genotype-orchida	genotype-orchida_18
18.0	genotype-aqua	0.0	0.0	genotype-aquaa	genotype-aquaa_18
18.0	genotype-green	0.0	0.0	genotype-greena	genotype-greena_18
18.0	genotype-orange	1.320992967795415	0.013209929677954153	genotype-orange	genotype-orange_18
18.0	genotype-orange	1.320992967795415	0.013209929677954153	genotype-orangea	genotype-orangea_18
18.0	genotype-red	19.261520865629787	0.19261520865629791	genotype-reda	genotype-reda_18
18.0	genotype-0	29.417486166574797	0.294174861665748	genotype-0a	genotype-0a_18
19.0	genotype-0	20.582513833425196	0.20582513833425192	genotype-0	genotype-0_19
19.0	genotype-red	26.902903519472854	0.2690290351947285	genotype-red	genotype-red_19
19.0	genotype-green	0.0	0.0	genotype-green	genotype-green_19
19.0	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_19
19.0	genotype-sienna	0.0	0.0	genotype-sienna	genotype-sienna_19
19.0	genotype-sienna	0.0	0.0	genotype-siennaa	genotype-siennaa_19
19.0	genotype-orchid	0.0	0.0	genotype-orchid	genotype-orchid_19
19.0	genotype-orchid	0.0	0.0	genotype-orchida	genotype-orchida_19
19.0	genotype-aqua	0.0	0.0	genotype-aquaa	genotype-aquaa_19
19.0	genotype-green	0.0	0.0	genotype-greena	genotype-greena_19
19.0	genotype-orange	2.51458264710195	0.025145826471019497	genotype-orange	genotype-orange_19
19.0	genotype-orange	2.51458264710195	0.025145826471019497	genotype-orangea	genotype-orangea_19
19.0	genotype-red	26.902903519472854	0.2690290351947285	genotype-reda	genotype-reda_19
19.0	genotype-0	20.582513833425196	0.20582513833425192	genotype-0a	genotype-0a_19
20.0	genotype-0	12.572913235509752	0.12572913235509753	genotype-0	genotype-0_20
20.0	genotype-red	33.31058399780521	0.3331058399780521	genotype-red	genotype-red_20
20.0	genotype-green	0.0	0.0	genotype-green	genotype-green_20
20.0	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_20
20.0	genotype-sienna	0.0	0.0	genotype-sienna	genotype-sienna_20
20.0	genotype-sienna	0.0	0.0	genotype-siennaa	genotype-siennaa_20
20.0	genotype-orchid	0.0	0.0	genotype-orchid	genotype-orchid_20
20.0	genotype-orchid	0.0	0.0	genotype-orchida	genotype-orchida_20
20.0	genotype-aqua	0.0	0.0	genotype-aquaa	genotype-aquaa_20
20.0	genotype-green	0.0	0.0	genotype-greena	genotype-greena_20
20.0	genotype-orange	4.1165027666850404	0.0411650276668504	genotype-orange	genotype-orange_20
20.0	genotype-orange	4.1165027666850404	0.0411650276668504	genotype-orangea	genotype-orangea_20
20.0	genotype-red	33.31058399780521	0.3331058399780521	genotype-reda	genotype-reda_20
20.0	genotype-0	12.572913235509752	0.12572913235509753	genotype-0a	genotype-0a_20
21.0	genotype-0	6.604964838977104	0.06604964838977104	genotype-0	genotype-0_21
21.0	genotype-red	37.51153792770795	0.3751153792770795	genotype-red	genotype-red_21
21.0	genotype-green	0.0	0.0	genotype-green	genotype-green_21
21.0	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_21
21.0	genotype-sienna	0.0	0.0	genotype-sienna	genotype-sienna_21
21.0	genotype-sienna	0.0	0.0	genotype-siennaa	genotype-siennaa_21
21.0	genotype-orchid	0.0	0.0	genotype-orchid	genotype-orchid_21
21.0	genotype-orchid	0.0	0.0	genotype-orchida	genotype-orchida_21
21.0	genotype-aqua	0.0	0.0	genotype-aquaa	genotype-aquaa_21
21.0	genotype-green	0.0	0.0	genotype-greena	genotype-greena_21
21.0	genotype-orange	5.88349723331495	0.0588349723331495	genotype-orange	genotype-orange_21
21.0	genotype-orange	5.88349723331495	0.0588349723331495	genotype-orangea	genotype-orangea_21
21.0	genotype-red	37.51153792770795	0.3751153792770795	genotype-reda	genotype-reda_21
21.0	genotype-0	6.604964838977104	0.06604964838977104	genotype-0a	genotype-0a_21
22.0	genotype-0	2.9503682818755976	0.029503682818755976	genotype-0	genotype-0_22
22.0	genotype-red	39.564214365226356	0.3956421436522636	genotype-red	genotype-red_22
22.0	genotype-green	0.0	0.0	genotype-green	genotype-green_22
22.0	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_22
22.0	genotype-sienna	0.0	0.0	genotype-sienna	genotype-sienna_22
22.0	genotype-sienna	0.0	0.0	genotype-siennaa	genotype-siennaa_22
22.0	genotype-orchid	0.0	0.0	genotype-orchid	genotype-orchid_22
22.0	genotype-orchid	0.0	0.0	genotype-orchida	genotype-orchida_22
22.0	genotype-aqua	0.0	0.0	genotype-aquaa	genotype-aquaa_22
22.0	genotype-green	0.0	0.0	genotype-greena	genotype-greena_22
22.0	genotype-orange	7.485417352898049	0.0748541735289805	genotype-orange	genotype-orange_22
22.0	genotype-orange	7.485417352898049	0.0748541735289805	genotype-orangea	genotype-orangea_22
22.0	genotype-red	39.564214365226356	0.3956421436522636	genotype-reda	genotype-reda_22
22.0	genotype-0	2.9503682818755976	0.029503682818755976	genotype-0a	genotype-0a_22
23.0	genotype-0	1.1111204187719466	0.011111204187719466	genotype-0	genotype-0_23
23.0	genotype-red	40.20987254902345	0.4020987254902345	genotype-red	genotype-red_23
23.0	genotype-green	0.0	0.0	genotype-green	genotype-green_23
23.0	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_23
23.0	genotype-sienna	0.0	0.0	genotype-sienna	genotype-sienna_23
23.0	genotype-sienna	0.0	0.0	genotype-siennaa	genotype-siennaa_23
23.0	genotype-orchid	0.0	0.0	genotype-orchid	genotype-orchid_23
23.0	genotype-orchid	0.0	0.0	genotype-orchida	genotype-orchida_23
23.0	genotype-aqua	0.0	0.0	genotype-aquaa	genotype-aquaa_23
23.0	genotype-green	0.0	0.0	genotype-greena	genotype-greena_23
23.0	genotype-orange	8.6790070322046	0.086790070322046	genotype-orange	genotype-orange_23
23.0	genotype-orange	8.6790070322046	0.086790070322046	genotype-orangea	genotype-orangea_23
23.0	genotype-red	40.20987254902345	0.4020987254902345	genotype-reda	genotype-reda_23
23.0	genotype-0	1.1111204187719466	0.011111204187719466	genotype-0a	genotype-0a_23
24.0	genotype-0	0.3504288062596004	0.003504288062596004	genotype-0	genotype-0_24
24.0	genotype-red	40.239644850115496	0.40239644850115497	genotype-red	genotype-red_24
24.0	genotype-green	0.0	0.0	genotype-green	genotype-green_24
24.0	genotype-aqua	0.0	0.0	genotype-aqua	genotype-aqua_24
